Sensor ID;TIME;PA11;PA26;PA38;PA40;PA05B;PA97S;PD1190A;PD9217A;PD8082;PD2724;PD252451;PD3DBD32;PD3RNL00;QF14V;QM58AF;QV66HVX;DD16HPER;TF15H180;TF32V300;TF41V000;TF55ACCU;TF90J;TF95F6;TW13V090;TW26H000;TW80C;TH32D301;TH37G404;TH33C217;CX3RYZ;CX93BT;CL83BT;CL4340;CISGBL
Parameter;;Pressure ;Pressure ;Pressure ;Pressure ;Pressure ;Pressure ;Differential Pressure ;Differential Pressure ;Differential Pressure ;Differential Pressure ;Differential Pressure ;Differential Pressure ;Differential Pressure ;Fluid Velocity ;Mass flow;Volumetric flow ;Density ;Temperature ;Temperature ;Temperature ;Temperature ;Temperature ;Temperature ;Wall Temperature ;Wall Temperature ;Wall Temperature ;Heater Rod Temperature ;Heater Rod Temperature ;Heater Rod Temperature ;Mixture Level ;Mixture Level ;Collapsed Level ;Collapsed Level ;Mass 
Location 1;;Intact Loop;Broken Loop;RPV;Pressurizer;Break;SG Intact Loop;Intact Loop;Intact Loop;Broken Loop;Broken Loop;Broken Loop;RPV;RPV;Intact Loop;SG Broken Loop;SG Broken Loop;Intact Loop;Intact Loop;RPV;Pressurizer;Intact Loop;Intact Loop;SG Intact Loop;Intact Loop;Broken Loop;Broken Loop;Core;Core;Upper Plenum;RPV;SG Intact Loop;SG Broken Loop;Pressurizer;SG Broken Loop
Location 2;;Hot Leg;Cold Leg;Upper plenum;Pressurizer;Break;Dome;Hot Leg;Loop Seal;U-tubes;Loop Seal;Pump;Downcomer;Core;Loop Seal;Auxiliary Feedwater;Steam Line;Cold Leg;Cold Leg;Downcomer;Pressurizer;ECCS;U-tubes;Riser;Loop Seal;Cold Leg;U-tubes;Level 1;Level 4;Level 17;RPV;Downcomer;Downcomer;Pressurizer;SG Broken Loop
Unit; ;MPa;MPa;MPa;MPa;MPa;MPa;MPa;MPa;MPa;MPa;MPa;MPa;MPa;m/s;kg/s;m3/s;kg/m3;K;K;K;K;K;K;K;K;K;K;K;K;m;m;m;m;Kg
;-198,80;15,51;15,54;15,50;15,44;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,83;0,06;0,00;751,79;559,45;559,25;542,05;359,55;567,85;559,45;561,95;556,75;561,85;570,65;573,85;587,45;8,07;8,16;7,78;4,97;100,13
;-196,19;15,51;15,54;15,50;15,44;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,83;0,06;0,00;750,90;559,45;558,85;540,05;358,35;567,85;559,35;561,85;556,75;561,85;570,65;573,85;587,45;8,07;8,16;7,79;4,97;100,39
;-193,58;15,51;15,54;15,50;15,44;0,10;6,94;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,84;0,06;0,00;751,60;559,45;558,95;536,45;358,55;567,85;559,35;561,95;556,75;561,85;570,85;573,75;587,35;8,08;8,15;7,80;4,97;100,52
;-191,00;15,51;15,54;15,50;15,44;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,83;0,06;0,00;750,69;559,45;559,25;533,35;358,95;567,85;559,35;561,95;556,75;561,85;570,75;573,85;587,15;8,08;8,15;7,80;4,96;100,80
;-188,39;15,51;15,54;15,50;15,44;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,84;0,06;0,00;752,10;559,45;558,95;529,25;358,25;567,95;559,35;561,85;556,75;561,75;570,75;573,85;587,35;8,07;8,16;7,78;4,96;100,18
;-185,82;15,51;15,54;15,50;15,44;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,83;0,06;0,00;751,09;559,45;559,15;525,75;358,55;567,85;559,35;561,95;556,75;561,85;570,85;573,75;587,45;8,08;8,15;7,78;4,98;99,84
;-183,21;15,51;15,54;15,50;15,44;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,84;0,06;0,00;751,69;559,45;559,35;522,05;357,25;567,75;559,35;561,95;556,75;561,85;570,75;573,95;587,25;8,08;8,15;7,77;4,97;99,68
;-180,55;15,51;15,54;15,49;15,44;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,84;0,06;0,00;753,10;559,45;559,15;520,85;357,75;567,85;559,35;561,95;556,75;561,85;570,85;573,95;587,35;8,08;8,15;7,77;4,97;99,59
;-178,02;15,50;15,53;15,49;15,43;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,84;0,06;0,00;751,19;559,45;559,25;522,85;357,35;567,75;559,35;561,95;556,75;561,85;570,75;573,85;587,45;8,08;8,15;7,78;4,97;99,92
;-175,41;15,50;15,53;15,49;15,43;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,84;0,06;0,00;752,00;559,45;558,75;525,35;358,55;567,95;559,35;561,95;556,75;561,85;570,65;573,75;587,25;8,07;8,15;7,78;4,97;100,11
;-172,76;15,50;15,53;15,49;15,43;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,83;0,06;0,00;751,79;559,45;559,05;528,45;358,45;567,85;559,45;561,95;556,75;561,85;570,55;573,95;587,15;8,07;8,15;7,79;4,98;100,18
;-170,18;15,50;15,53;15,49;15,43;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,84;0,06;0,00;752,39;559,45;559,15;523,45;358,25;567,85;559,35;561,95;556,75;561,85;570,65;573,95;587,35;8,08;8,15;7,77;4,97;99,76
;-167,57;15,50;15,53;15,49;15,43;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,84;0,06;0,00;754,30;559,45;559,15;518,45;357,15;567,85;559,45;561,95;556,75;561,85;570,75;573,95;587,45;8,08;8,15;7,78;4,97;99,81
;-165,04;15,50;15,53;15,49;15,43;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,83;0,06;0,00;752,10;559,35;559,15;515,45;357,55;567,85;559,35;561,95;556,75;561,85;570,75;573,95;587,35;8,08;8,15;7,78;4,97;99,85
;-162,39;15,50;15,53;15,49;15,43;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,84;0,06;0,00;751,60;559,35;558,95;513,55;357,05;567,95;559,35;561,95;556,75;561,85;570,75;573,95;587,05;8,07;8,15;7,78;4,96;99,87
;-159,77;15,50;15,53;15,49;15,43;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,83;0,06;0,00;752,69;559,35;559,45;515,95;356,55;567,95;559,35;561,95;556,75;561,85;570,75;573,95;587,25;8,08;8,15;7,77;4,97;99,84
;-157,20;15,50;15,53;15,49;15,43;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,83;0,06;0,00;752,39;559,35;559,05;512,25;357,15;567,85;559,35;561,85;556,75;561,75;570,75;573,95;587,25;8,08;8,15;7,78;4,98;99,81
;-154,59;15,50;15,53;15,49;15,43;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,84;0,06;0,00;752,39;559,45;559,25;509,95;358,65;567,75;559,35;561,95;556,75;561,85;570,95;573,95;587,25;8,07;8,15;7,77;4,97;99,77
;-152,01;15,50;15,53;15,49;15,43;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,84;0,06;0,00;752,60;559,45;559,25;510,85;357,45;567,85;559,35;561,95;556,75;561,85;570,65;573,75;587,55;8,07;8,15;7,78;4,97;100,05
;-149,40;15,50;15,53;15,49;15,43;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,84;0,06;0,00;750,40;559,45;558,75;508,95;356,75;567,85;559,35;561,95;556,75;561,85;570,65;573,85;587,35;8,07;8,15;7,78;4,97;100,15
;-146,79;15,50;15,53;15,49;15,43;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,84;0,06;0,00;752,19;559,35;558,85;507,45;356,65;567,85;559,35;561,95;556,75;561,85;570,55;573,85;587,35;8,08;8,15;7,78;4,97;100,09
;-144,22;15,50;15,53;15,49;15,43;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,83;0,06;0,00;752,69;559,45;559,15;507,05;356,55;567,95;559,35;561,95;556,75;561,85;570,65;573,95;587,45;8,08;8,15;7,79;4,98;100,27
;-141,60;15,50;15,53;15,49;15,43;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,83;0,06;0,00;752,50;559,35;559,15;505,45;358,25;567,85;559,35;561,95;556,75;561,85;570,55;573,95;587,45;8,08;8,15;7,79;4,97;100,31
;-138,95;15,50;15,53;15,49;15,43;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,84;0,06;0,00;751,60;559,35;559,15;503,85;357,55;567,85;559,35;561,95;556,75;561,85;570,95;573,95;587,65;8,08;8,15;7,78;4,97;100,07
;-136,42;15,50;15,53;15,49;15,43;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,84;0,06;0,00;751,69;559,45;559,15;505,65;357,55;567,85;559,35;561,95;556,75;561,85;570,75;573,95;587,45;8,07;8,15;7,79;4,97;100,26
;-133,77;15,49;15,52;15,48;15,42;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,83;0,06;0,00;751,69;559,45;559,15;517,05;358,85;567,85;559,35;561,95;556,75;561,85;570,75;573,85;587,35;8,08;8,15;7,80;4,97;100,50
;-131,23;15,49;15,52;15,48;15,42;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,84;0,06;0,00;751,90;559,35;559,15;548,45;358,05;567,95;559,35;561,95;556,75;561,85;570,75;573,95;587,25;8,08;8,15;7,80;4,97;100,46
;-128,58;15,49;15,52;15,48;15,42;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,84;0,06;0,00;750,79;559,45;559,05;551,05;357,15;567,95;559,35;561,95;556,75;561,85;570,75;573,85;587,55;8,07;8,15;7,81;4,98;100,97
;-125,97;15,49;15,52;15,48;15,42;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,84;0,06;0,00;752,00;559,45;559,35;575,35;358,05;567,85;559,35;561,85;556,75;561,85;570,75;573,85;587,35;8,08;8,15;7,79;4,97;100,42
;-123,40;15,49;15,52;15,48;15,42;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,83;0,06;0,00;751,60;559,45;559,25;585,55;357,45;567,85;559,45;561,85;556,75;561,85;570,95;573,95;587,75;8,08;8,15;7,78;4,97;99,96
;-120,78;15,49;15,52;15,48;15,42;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,84;0,06;0,00;749,99;559,45;559,15;595,25;356,85;567,95;559,35;561,85;556,75;561,85;570,75;573,95;587,35;8,07;8,15;7,78;4,96;99,89
;-118,25;15,49;15,52;15,48;15,42;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,84;0,06;0,00;752,89;559,45;559,05;604,45;357,55;567,95;559,35;561,85;556,75;561,85;570,75;573,85;587,35;8,07;8,15;7,77;4,97;99,61
;-115,60;15,49;15,52;15,48;15,42;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,83;0,06;0,00;751,09;559,45;559,05;610,85;357,35;567,85;559,45;561,85;556,85;561,85;570,85;574,05;587,35;8,08;8,15;7,77;4,97;99,74
;-112,99;15,49;15,52;15,48;15,42;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,84;0,06;0,00;750,19;559,45;559,05;612,95;356,65;567,95;559,45;561,85;556,75;561,85;570,75;574,05;587,55;8,08;8,15;7,79;4,97;100,40
;-110,41;15,48;15,51;15,47;15,41;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,85;0,06;0,00;753,00;559,45;559,05;616,15;357,05;567,85;559,45;561,85;556,75;561,85;570,65;573,95;587,55;8,08;8,14;7,79;4,97;100,28
;-107,80;15,48;15,51;15,47;15,41;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,83;0,06;0,00;750,79;559,45;558,95;615,65;357,55;567,95;559,45;561,95;556,75;561,85;570,75;573,95;587,55;8,07;8,15;7,79;4,96;100,24
;-105,15;15,48;15,51;15,47;15,41;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,84;0,06;0,00;751,90;559,45;559,15;616,35;358,65;567,95;559,45;561,85;556,75;561,85;570,75;574,05;587,45;8,08;8,15;7,79;4,96;100,39
;-102,62;15,48;15,51;15,47;15,41;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,84;0,06;0,00;751,19;559,45;559,05;617,45;358,15;567,95;559,45;561,95;556,75;561,85;570,55;574,05;587,35;8,07;8,15;7,79;4,96;100,25
;-99,96;15,48;15,51;15,47;15,41;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,84;0,06;0,00;752,10;559,45;559,25;617,85;357,05;567,95;559,45;561,85;556,75;561,85;570,65;573,95;587,45;8,08;8,15;7,78;4,95;99,99
;-97,43;15,48;15,51;15,47;15,41;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,85;0,06;0,00;750,90;559,45;558,85;617,75;357,35;567,95;559,45;561,95;556,75;561,85;570,65;573,95;587,55;8,08;8,14;7,77;4,95;99,71
;-94,78;15,48;15,51;15,47;15,41;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,83;0,06;0,00;751,29;559,45;559,15;618,35;357,75;567,95;559,35;561,85;556,75;561,85;570,85;574,05;587,45;8,07;8,15;7,80;4,95;100,43
;-92,17;15,48;15,51;15,47;15,41;0,10;6,95;0,01;-0,03;0,00;0,01;0,00;0,00;0,01;0,85;0,06;0,00;752,29;559,45;559,15;617,55;357,85;567,95;559,35;561,85;556,75;561,85;570,75;574,05;587,45;8,07;8,15;7,79;4,94;100,31
